p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,300.0,0.053,1.0,1.0,1.0,1.0
300.0,600.0,0.0525,1.0,1.0,1.0,1.0
450.0,900.0,0.049,1.0,1.0,1.0,1.0
600.0,1200.0,0.0545,1.0,1.0,1.0,1.0
