p,n,1.0,3.0,3.5,4.0,4.5
150.0,300.0,0.092,0.7675,0.8825,0.934,0.9675
300.0,600.0,0.0675,0.916,0.9805,0.9945,0.998
450.0,900.0,0.072,0.966,0.997,0.9995,1.0
600.0,1200.0,0.0575,0.984,0.9995,1.0,1.0
