p,n,1.0,3.0,3.5,4.0,4.5
150.0,300.0,0.074,0.83,0.9165,0.9555,0.974
300.0,600.0,0.0655,0.9585,0.995,1.0,1.0
450.0,900.0,0.0595,0.989,0.999,0.9995,1.0
600.0,1200.0,0.048,0.994,1.0,1.0,1.0
