p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,300.0,0.074,0.5125,0.7375,0.8825,0.959
300.0,600.0,0.0655,0.962,1.0,1.0,1.0
450.0,900.0,0.0595,0.9995,1.0,1.0,1.0
600.0,1200.0,0.048,1.0,1.0,1.0,1.0
