p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,300.0,0.0625,1.0,1.0,1.0,1.0
300.0,600.0,0.0425,1.0,1.0,1.0,1.0
450.0,900.0,0.0575,1.0,1.0,1.0,1.0
600.0,1200.0,0.0495,1.0,1.0,1.0,1.0
