p,n,power
107,294,1.0
107,296,1.0
107,298,1.0
107,300,1.0
107,302,1.0
107,304,1.0
107,306,1.0
107,308,1.0
107,310,1.0
107,312,1.0
107,314,1.0
107,316,1.0
107,318,1.0
107,320,1.0
107,322,1.0
107,324,1.0
107,326,1.0
107,328,1.0
107,330,1.0
108,240,0.0
108,242,0.0
108,244,0.0
108,246,0.0
108,248,0.0
108,250,0.0
108,252,0.0
108,254,0.0
108,256,0.0
108,258,0.0
108,260,0.0
108,262,0.0
108,264,0.0
108,266,0.005
108,268,0.02
108,270,0.07
108,272,0.115
108,274,0.36
108,276,0.6
108,278,0.81
108,280,0.935
108,282,0.97
108,284,1.0
108,286,1.0
108,288,1.0
108,290,1.0
108,292,1.0
108,294,1.0
108,296,1.0
108,298,1.0
108,300,1.0
108,302,1.0
108,304,1.0
108,306,1.0
108,308,1.0
108,310,1.0
108,312,1.0
108,314,1.0
108,316,1.0
108,318,1.0
108,320,1.0
108,322,1.0
108,324,1.0
108,326,1.0
108,328,1.0
108,330,1.0
109,240,0.0
109,242,0.0
109,244,0.0
109,246,0.0
109,248,0.0
109,250,0.0
109,252,0.0
109,254,0.0
109,256,0.0
109,258,0.0
109,260,0.0
109,262,0.0
109,264,0.0
109,266,0.0
109,268,0.0
109,270,0.005
109,272,0.04
109,274,0.15
109,276,0.345
109,278,0.51
109,280,0.735
109,282,0.91
109,284,0.96
109,286,0.99
109,288,1.0
109,290,1.0
109,292,1.0
109,294,1.0
109,296,1.0
109,298,1.0
109,300,1.0
109,302,1.0
109,304,1.0
109,306,1.0
109,308,1.0
109,310,1.0
109,312,1.0
109,314,1.0
109,316,1.0
109,318,1.0
109,320,1.0
109,322,1.0
109,324,1.0
109,326,1.0
109,328,1.0
109,330,1.0
110,240,0.0
110,242,0.0
110,244,0.0
110,246,0.0
110,248,0.0
110,250,0.0
110,252,0.0
110,254,0.0
110,256,0.0
110,258,0.0
110,260,0.0
110,262,0.0
110,264,0.0
110,266,0.0
110,268,0.0
110,270,0.0
110,272,0.01
110,274,0.03
110,276,0.135
110,278,0.26
110,280,0.46
110,282,0.715
110,284,0.915
110,286,0.955
110,288,0.985
110,290,0.995
110,292,1.0
110,294,1.0
110,296,1.0
110,298,1.0
110,300,1.0
110,302,1.0
110,304,1.0
110,306,1.0
110,308,1.0
110,310,1.0
110,312,1.0
110,314,1.0
110,316,1.0
110,318,1.0
110,320,1.0
110,322,1.0
110,324,1.0
110,326,1.0
110,328,1.0
110,330,1.0
111,240,0.0
111,242,0.0
111,244,0.0
111,246,0.0
111,248,0.0
111,250,0.0
111,252,0.0
111,254,0.0
111,256,0.0
111,258,0.0
111,260,0.0
111,262,0.0
111,264,0.0
111,266,0.0
111,268,0.0
111,270,0.0
111,272,0.0
111,274,0.0
111,276,0.045
111,278,0.11
111,280,0.325
111,282,0.415
111,284,0.69
111,286,0.83
111,288,0.915
111,290,0.995
111,292,0.995
111,294,1.0
111,296,1.0
111,298,1.0
111,300,1.0
111,302,1.0
111,304,1.0
111,306,1.0
111,308,1.0
111,310,1.0
111,312,1.0
111,314,1.0
111,316,1.0
111,318,1.0
111,320,1.0
111,322,1.0
111,324,1.0
111,326,1.0
111,328,1.0
111,330,1.0
112,240,0.0
112,242,0.0
112,244,0.0
112,246,0.0
112,248,0.0
112,250,0.0
112,252,0.0
112,254,0.0
112,256,0.0
112,258,0.0
112,260,0.0
112,262,0.0
112,264,0.0
112,266,0.0
112,268,0.0
112,270,0.0
112,272,0.0
112,274,0.0
112,276,0.005
112,278,0.02
112,280,0.075
112,282,0.225
112,284,0.41
112,286,0.65
112,288,0.83
112,290,0.96
112,292,0.97
112,294,0.985
112,296,1.0
112,298,1.0
112,300,1.0
