p,n,1.0,3.0,3.5,4.0,4.5
150.0,150.0,0.09,0.4165,0.5405,0.6255,0.6855
300.0,300.0,0.0705,0.4705,0.647,0.7645,0.841
450.0,450.0,0.058,0.57,0.777,0.884,0.925
600.0,600.0,0.059,0.5855,0.803,0.9245,0.9705
