p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,150.0,0.093,0.1895,0.2325,0.2745,0.29
300.0,300.0,0.0595,0.341,0.5145,0.704,0.8225
450.0,450.0,0.0585,0.581,0.829,0.9585,0.9935
600.0,600.0,0.06,0.798,0.9735,0.9985,1.0
