p,n,1.0,3.0,3.5,4.0,4.5
150.0,150.0,0.0565,0.9805,0.999,1.0,1.0
300.0,300.0,0.0535,0.9995,1.0,1.0,1.0
450.0,450.0,0.0505,1.0,1.0,1.0,1.0
600.0,600.0,0.047,1.0,1.0,1.0,1.0
