p,n,1.0,3.0,3.5,4.0,4.5
150.0,150.0,0.0535,0.999,1.0,1.0,1.0
300.0,300.0,0.05,1.0,1.0,1.0,1.0
450.0,450.0,0.054,1.0,1.0,1.0,1.0
600.0,600.0,0.061,1.0,1.0,1.0,1.0
