p,n,1.0,3.0,3.5,4.0,4.5
150.0,150.0,0.093,0.3895,0.503,0.602,0.668
300.0,300.0,0.0595,0.482,0.6855,0.8195,0.8845
450.0,450.0,0.0585,0.5605,0.797,0.9145,0.9635
600.0,600.0,0.06,0.604,0.857,0.9555,0.984
