p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,150.0,0.09,0.1465,0.162,0.16,0.1415
300.0,300.0,0.0705,0.2495,0.353,0.457,0.5095
450.0,450.0,0.058,0.4265,0.654,0.819,0.896
600.0,600.0,0.059,0.6225,0.872,0.971,0.9955
