p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,150.0,0.0535,1.0,1.0,1.0,1.0
300.0,300.0,0.05,1.0,1.0,1.0,1.0
450.0,450.0,0.054,1.0,1.0,1.0,1.0
600.0,600.0,0.061,1.0,1.0,1.0,1.0
