p,n,1.0,3.0,3.5,4.0,4.5
150.0,100.0,0.085,0.265,0.3445,0.4235,0.485
300.0,200.0,0.073,0.2905,0.433,0.546,0.6455
450.0,300.0,0.0565,0.3295,0.5025,0.6375,0.747
600.0,400.0,0.0605,0.334,0.5235,0.699,0.804
