p,n,1.0,3.0,3.5,4.0,4.5
150.0,100.0,0.0495,0.968,0.9985,1.0,1.0
300.0,200.0,0.049,0.996,1.0,1.0,1.0
450.0,300.0,0.0475,0.9975,1.0,1.0,1.0
600.0,400.0,0.0585,1.0,1.0,1.0,1.0
