p,n,1.0,3.0,3.5,4.0,4.5
150.0,100.0,0.05,0.876,0.971,0.9965,0.9995
300.0,200.0,0.047,0.959,0.997,1.0,1.0
450.0,300.0,0.0495,0.986,0.9995,1.0,1.0
600.0,400.0,0.044,0.9935,1.0,1.0,1.0
