p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,100.0,0.0875,0.113,0.126,0.127,0.117
300.0,200.0,0.065,0.181,0.242,0.2995,0.3445
450.0,300.0,0.061,0.2625,0.395,0.5425,0.662
600.0,400.0,0.063,0.3775,0.5915,0.783,0.8945
