p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,100.0,0.05,1.0,1.0,1.0,1.0
300.0,200.0,0.047,1.0,1.0,1.0,1.0
450.0,300.0,0.0495,1.0,1.0,1.0,1.0
600.0,400.0,0.044,1.0,1.0,1.0,1.0
