p,n,0.0,-0.2,-0.25,-0.3,-0.35
150.0,100.0,0.085,0.0995,0.096,0.082,0.053
300.0,200.0,0.073,0.1335,0.1575,0.172,0.159
450.0,300.0,0.0565,0.1885,0.2525,0.321,0.3545
600.0,400.0,0.0605,0.274,0.4135,0.546,0.6525
