"","G1","G2","G3"
"1",-2.41983403092502,-20.784250036053,-189.156950463459
"2",-5.18083076325809,-4.53370059498729,120.643289637566
"3",-14.5290644808007,-76.6330786775297,-438.336021987465
"4",-2.39439338241334,1.62817626385186,91.7047744503034
"5",-1.90758869993977,8.95168413899364,157.183087356681
"6",-7.76618346149678,-47.13071964446,-282.224784540011
"7",-6.71081829851414,-25.0757863194422,-57.3141906507353
"8",0.66881976991192,23.6923310972315,258.482799989459
"9",-12.8578321328783,-93.5083632833516,-655.913324379286
"10",2.49216015343404,69.8517850393573,733.885283535532
"11",-17.8641455104823,-116.854357662176,-764.550304539651
"12",-4.2476847123686,-6.65281934468567,54.733236239359
"13",-13.28425076243,-71.0895313016995,-374.210049759809
"14",-9.44066503694978,-54.2638355288341,-291.173865662246
"15",-11.7716063642135,-72.8278988102165,-474.684294702467
"16",1.30051332429116,47.1094130504243,501.405855585796
"17",-13.0793844635435,-85.8008876452614,-578.862664127413
"18",-3.48548058332904,-8.39862048969371,14.3860934600998
"19",-12.0539459552726,-65.3235060926322,-360.474047180731
"20",-9.50285223333742,-59.6314083175566,-350.574801755076
"21",-4.13413283642763,-3.95486002700545,92.5987383661904
"22",-6.71837137179466,-36.6928072791543,-194.52259539682
"23",-4.35294557045222,-10.7190774431856,30.2956889128309
"24",0.0891300237368569,30.438366725346,350.545903001035
"25",-9.32007446094372,-62.3923402045361,-458.423796951291
"26",-7.39246649456004,-44.5841134355856,-268.826215343566
"27",-10.922263587377,-62.8041271521201,-350.827079381143
"28",-14.3617176746393,-98.9447197961663,-672.033396683011
"29",0.145506959683075,22.9712699018019,242.824978275692
"30",-3.81718283203861,-1.34132034023696,121.480021356672
"31",3.60660226499544,52.3412632851278,489.649987001212
"32",-5.95863431501903,-21.1270966944817,-64.0305918568483
"33",-13.3553078071687,-79.3085597763152,-476.773299452656
"34",-4.26815609299763,2.01696210343425,146.312406385525
"35",-4.54315372110682,-7.91069685426464,41.7807751549171
"36",-12.130478375589,-69.120910311286,-378.954845007451
"37",-5.96984526604922,-33.7014229940255,-186.827913166668
"38",-2.63865385152098,19.2401312824741,329.465998039273
"39",-8.77276077049123,-43.6369024175078,-171.984639511786
"40",-8.77689713780296,-39.2728582672498,-168.281987582168
"41",-6.73694734741912,-28.00151866542,-113.935683764797
"42",-3.64083985000173,-6.28722374633162,57.3928424526039
"43",-5.6573673260292,-22.7780366860688,-78.0742808544819
"44",-2.66029316409231,-2.14116298552381,64.5671883455561
"45",-1.11075848642861,15.7980830092738,222.550258522673
"46",-5.53272293772454,-20.5656869250461,-88.2221439362384
"47",-19.076268098783,-138.411347171444,-976.38520110898
"48",-3.0534419704893,-8.55297770968855,4.5393887113496
"49",-8.91601759137973,-54.3695247654741,-368.720239907732
"50",-4.51173397654179,-21.5797125458757,-78.5495225070099
"51",2.57625747204145,35.5664122605936,319.527024950898
"52",-6.61450985077329,-27.8947384702046,-121.124845162087
"53",-17.1841979536352,-111.207732389837,-723.781364701825
"54",-10.3835190535223,-52.395201954133,-222.824424890767
"55",-8.64082707030821,-52.9137529200639,-354.414919358984
"56",-10.7379341550989,-68.6720814285031,-433.822338657787
"57",0.0935004791659821,35.7897142587749,408.651669252049
"58",-5.43804388358319,-42.5344541930417,-321.101779014773
"59",-9.66929415406616,-49.0615153029589,-280.459368878322
"60",-3.82518608500459,-4.73749330396276,71.8073835471077
"61",-9.59118329170019,-45.6982465232491,-187.482255263809
"62",-6.58520919934404,-19.4500373032065,10.8829219096879
"63",-10.2392937151401,-68.0394140160411,-450.788863555306
"64",-3.46580188001019,-2.70718870150313,95.254932031723
"65",2.13361527097345,42.7786030519896,410.720995557574
"66",-1.6862830707646,12.2237958613537,191.454822559823
"67",-8.14222913955166,-38.8190111248782,-170.163465345995
"68",-10.9196781804325,-55.4397860504446,-305.79687279875
"69",-8.864721578444,-58.4746821544472,-407.937721208591
"70",0.802657804299542,18.8239539305891,188.619321453867
"71",-5.71868242898756,-7.23946974994396,124.388480672063
"72",-1.48528587512101,9.938192366561,171.879822755418
"73",-7.83445183078595,-44.0003158634072,-246.16315569642
"74",-4.67317166530813,-19.9042361124357,-30.2303046790494
"75",-8.03913888751811,-37.455723638383,-178.244777190268
"76",-6.50327677851817,-23.7251743683319,-47.0906004183234
"77",-11.9053911392775,-65.572429760145,-346.349849742142
"78",-11.1503302193328,-55.8340582745141,-292.269863025533
"79",-12.319604741642,-78.2733860436633,-514.653446265442
"80",-7.70548658141433,-35.594632478148,-162.059323680984
"81",-6.8300024661346,-7.74376364896852,139.471745911183
"82",-2.29972680410526,-9.91193349633977,-49.8133625868504
"83",-2.64879880831938,-6.60202889060065,-1.23980258518714
"84",-11.518426295774,-71.7470585110655,-422.16252809756
"85",-8.31969564515168,-39.3372969150009,-191.262335002712
"86",-5.09832769869286,-2.59477294422959,146.817246352439
"87",-13.5149693412125,-85.7987272442297,-545.872346598624
"88",-8.7340240407741,-48.4372812473953,-258.998639991905
"89",-7.18360170924302,-37.6972144445076,-175.867286739789
"90",-2.94726514091849,12.4322108735805,261.447124619532
"91",-7.06123565465487,-25.9517358115663,-73.8169354199781
"92",-12.5470880032302,-95.0614059636641,-687.406779798861
"93",-4.27070307839892,-17.6318898552909,-66.5861321109169
"94",-8.8642135740904,-47.1227862446135,-282.187927946454
"95",-4.56665400624559,-8.74896234762082,63.0305416687825
"96",-3.44595339275759,-3.44565702268346,64.4028808173534
"97",-10.8522034199005,-62.1531753313329,-373.428030658497
"98",-5.41161337636038,-17.7156360876043,-40.0730980919307
"99",-5.11042380256981,-10.8664634666643,80.9579014630272
"100",-3.56621974727489,-12.9855228561905,-52.9951522950214
"101",-8.62464346648835,-43.996905617018,-180.76731760483
"102",-7.09266610366399,-30.4141621792492,-118.031308260342
"103",-6.72103146937809,-28.1571337994619,-83.5380708476223
"104",-3.09300273412271,19.7757586814478,362.538931372019
"105",-9.14212525688072,-55.9912862539477,-372.918970670891
"106",1.31205406035701,23.5436891909249,259.605999170863
"107",-15.3115350753611,-101.198308414763,-687.683833784937
"108",-2.87150701601774,8.26943987379536,165.189294887252
"109",-5.4572252756476,-26.5844818497085,-91.2899311063575
"110",-14.1024591372709,-95.7275583918049,-631.33423765766
"111",-6.97024560393027,-42.4191548052377,-252.779022168119
"112",-15.0689812563406,-82.2863429578028,-458.595598271198
"113",-4.35336132010866,-11.3749664567263,-9.49883368471274
"114",-6.21370012203613,-30.0251392102787,-105.208493598418
"115",-0.865046564521208,13.7342053176649,194.755722745784
"116",-2.51590527502151,9.94692744384747,184.696764668619
"117",-6.99448690111979,-30.4391434714098,-103.021720096598
"118",-8.32077896574117,-31.1121356481931,-38.8428657806817
"119",-6.98133755475988,-45.9861570562957,-327.477505593766
"120",-4.94994058249904,8.66160854911459,280.975310179187
"121",-4.81113773379138,-4.88158636076651,103.055012692314
"122",-5.45579821426702,-32.1288210007378,-241.641205072578
"123",-1.48194505345668,21.2403952186664,294.267473490752
"124",-12.447832172328,-77.3699057103636,-512.918293567862
"125",-11.1544127980119,-69.4648418579363,-423.465125943954
"126",0.925147370799095,45.1090052236414,494.375249014323
"127",-12.2972543291868,-93.0706246289683,-671.950902234406
"128",-7.13807305374553,-31.2781310267319,-116.3807335115
"129",-0.469326369496684,2.20437540642843,54.8266605401495
"130",-0.510672784315261,25.1601715434613,302.936129489986
"131",-7.76353291869589,-37.6254501246071,-174.26979640116
"132",-6.55983227614115,-38.6118299056848,-215.850191598371
"133",-2.32572262526742,0.48136627928443,96.251208056241
"134",-5.61508927616728,-20.9983872325424,-77.4334414937839
"135",-4.94918036289062,-29.0915869571286,-173.579510874217
"136",-3.70061563802494,5.46506241833413,189.524453822423
"137",-1.15600823746706,-0.293619138849408,35.5026454054641
"138",-2.55787852167498,12.4445805172404,218.241520842472
"139",-12.8768823581805,-84.259056227439,-539.877468011253
"140",-8.85015782528706,-42.7692548553446,-176.750643099178
"141",-7.13555225967389,-18.2122075580573,16.9597265144948
"142",-4.8353737349787,-16.0213122296141,-20.045898550421
"143",-2.41072470705569,-4.70537254050669,27.6980185757493
"144",-7.86453423992759,-43.7182544821144,-262.76464762387
"145",-4.50376549095529,-13.7516935585641,-15.1894322290282
"146",-9.23548037620571,-55.0303839128187,-347.367160772099
"147",-6.8599104394458,-29.2831194316373,-98.1470903054033
"148",-5.34410735971824,-19.0621874753474,-30.8558414972249
"149",-2.34517465445526,3.6654052512049,113.359538123552
"150",-3.91402271137349,-14.9619753450834,-42.5597698661859
"151",2.7733478689737,42.2287346975349,360.925853081131
"152",-6.75155759039455,-18.0285440585112,7.74789273222086
"153",-4.05354592690128,-13.3613176324052,-27.1435836907531
"154",-0.473834688121542,33.0641435669104,422.533997194114
"155",-3.52968657382974,-27.0016917208118,-207.550807144456
"156",0.289071407589631,27.2784400793025,330.567999539719
"157",-3.95426906070213,-0.523545307120003,157.424289836006
"158",-10.1763801224172,-51.560718759104,-268.778604306544
"159",-3.29943227962417,4.09048684737127,153.361473313227
"160",-1.44124445246166,2.90576189896728,108.0384545335
"161",-5.36373092559586,-28.9991101516284,-155.075960490514
"162",-17.7331150184381,-120.93160658744,-804.068325274186
"163",-1.28302768589072,14.9100743571348,217.150099703647
"164",-12.2136413530756,-77.6817012746333,-473.049965355929
"165",-8.16190170457674,-45.2313950068647,-254.852964220145
"166",-3.80524712777094,3.56446949930751,200.558525564615
"167",-9.25243963948685,-60.2617572712829,-412.917658350976
"168",-2.86511421323382,-14.9407292405349,-56.5834355130119
"169",-10.25039539737,-82.7986824129939,-631.55077119765
"170",-5.45175264444526,-22.8175322601796,-80.3361626689093
"171",-10.5195425133859,-44.8224408154106,-169.495498343589
"172",-6.0120081253076,-33.047075065399,-189.669848510712
"173",-10.8803125881983,-60.0782719197186,-350.926387835163
"174",-7.3060026013294,-44.8244087042226,-287.455494157883
"175",-5.45144874468406,-21.1926002422338,-101.523416304026
"176",-7.58399359140594,-23.7267714731884,-28.8163455581271
"177",-9.85481274905328,-56.6155467506478,-326.307824698813
"178",-5.10682283217682,-5.87961257841425,111.270121439722
"179",-5.56405045439737,-17.2453811225964,-21.3180484194909
"180",-4.2064435905952,-1.19266905968334,128.591533215153
"181",-10.6703576273997,-63.2929034922054,-378.00878921836
"182",-10.8492169131398,-65.5479152744824,-406.150208587367
"183",-4.56288007655462,-1.08558924338013,137.130291333746
"184",-3.90752301708051,-10.3549842771699,-3.53075318032825
"185",2.49138621037764,36.9867976557412,362.127023559984
"186",-2.59048966669604,0.965886308277277,78.863676560999
"187",-2.78158350592139,8.43897011157787,182.683474257332
"188",-2.57721718833682,2.99116844973696,124.791536813849
"189",-6.62458245120899,-37.3910976591314,-227.677116627985
"190",-8.72604012485738,-43.4198531273082,-215.516201224502
"191",-3.9238823810125,-1.32533857562248,121.536945619664
"192",-3.8275202022071,-7.06035517644295,34.478123478113
"193",-1.02978495394518,12.757529611114,171.631660571584
"194",-6.66568981141995,-32.2286494840864,-136.270615030602
"195",-4.54960736098178,-21.514465412029,-107.161015701449
"196",-9.19163804962193,-48.8309523836083,-254.356720073165
"197",-1.72952068789607,4.47411435235881,133.662314813886
"198",-2.05084563002652,-2.3908727397029,32.6632872377068
"199",-0.959276158951752,4.49589860460219,88.6149466028764
"200",-3.64615594082125,7.40017436764447,201.448310692756
"201",-3.11486666168719,26.8442137954466,427.999423654674
"202",-2.03863199682769,28.8547312097012,430.447929648857
"203",-13.0748581048414,-77.6801770781335,-486.653290265003
"204",-11.6171994404635,-80.921383345159,-555.610179097355
"205",-3.65888039550259,3.87712062503942,160.927032499052
"206",2.91949938072298,53.2115512108285,537.327631003693
"207",-4.09442058796105,-9.2056083649245,79.7952952754076
"208",-7.66661979612491,-21.8369627156658,0.681188157326687
"209",-4.90244985325319,-23.6494100083246,-103.280090538068
"210",-8.88936893901553,-40.0075220786021,-189.807612758585
"211",-6.50143153039471,-35.8750932911548,-235.010324966364
"212",-3.09731408596133,-8.88971973341404,9.02147118784706
"213",-10.2248050256566,-61.0013457658029,-350.159888457862
"214",-2.55575965308299,1.6222267156636,84.9487069219904
"215",-0.81771751702081,13.7865934538254,190.244897042405
"216",-1.71647606978843,16.0904805340529,200.482090177617
"217",-9.24091440531163,-48.6648617718965,-249.915588537266
"218",-9.76183672594004,-64.7442858659674,-436.965298167705
"219",-11.0737347911908,-60.9755014404191,-350.613150701936
"220",-4.60158140028318,-18.0508678402743,-71.4376172144584
"221",3.33206570828645,63.005317945554,631.490228304792
"222",-0.904459209660104,20.1677548602865,289.258696187357
"223",-14.4794635421822,-99.3827580690581,-667.513635369307
"224",-14.0017600066327,-79.4181946101457,-474.045465001276
"225",-7.15523814657968,-31.1813146617951,-91.7597378534902
"226",0.998017580868805,24.9129183494329,257.752644573768
"227",-3.73050748872106,-28.1992256280541,-212.61960481095
"228",0.26307481143624,33.859435231615,369.317101729921
"229",2.45323196954018,38.9944973046031,382.051736556561
"230",-2.79041508806074,9.74769169528554,217.05709967803
"231",-5.8614528728898,-30.3005955993012,-168.342683863959
"232",-3.92517544652594,8.81396437242211,232.413933134874
"233",-6.74212126402813,-22.0542247844242,-20.2615014972453
"234",-10.5782190399626,-64.353109670717,-371.056439947813
"235",-5.91417168668215,-24.983814141799,-124.429751346834
"236",-4.62526984052113,-32.0597823835146,-234.31044360327
"237",-2.244164048794,0.566082597826153,89.9762326627369
"238",-8.86927312949661,-62.8177945599909,-403.592985929216
"239",-2.49444223267199,8.72345480303056,198.602958934505
"240",-2.83837084052823,0.441456730518439,48.3410344450149
"241",-10.3221314797972,-45.6467879680922,-179.9340050928
"242",-9.20244873354227,-46.5040880819965,-203.781797501346
"243",-7.17879169137552,-17.876391409156,37.257860408854
"244",-3.35255910336423,-12.5304735613663,-31.9536039520754
"245",-12.675980319349,-79.2506777237891,-525.791163029047
"246",-11.9370170584325,-53.9945020551104,-231.184770343703
"247",-1.2182446636657,10.7429807442991,183.506705486807
"248",-2.29655786060903,7.02165786441128,186.849701377916
"249",-3.63276043341364,-11.2702002782389,-39.7272026698083
"250",-1.46194168957652,10.4092307236388,175.867838218493
"251",-11.1971352569417,-77.4978161443428,-590.192446965242
"252",-12.2650212860808,-81.9455714670698,-560.714009684649
"253",-2.11559418536626,9.65670401972966,208.352243332178
"254",-13.80344538828,-84.5685448596241,-498.443874755501
"255",1.52488091567727,50.2521709080929,547.621502133989
"256",-6.95234150961051,-30.5957648863478,-141.694671927578
"257",-3.7671196698077,-15.4158440709552,-44.7180821968614
"258",-3.50101674069754,-3.82587321157189,79.8152419344678
"259",6.83379862376614,95.2857884871373,902.084040034759
"260",-11.3581819087312,-69.4512744164458,-436.94674676976
